nodelist,edgelist,num_nodes,num_edges,giulia_spatial_entropy,runtime
../network_data/partek_myod_young/partek_myod_young_1303_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_1303_edgelist.csv,804,23432,43183.06010264072,1.4534521102905273
../network_data/partek_myod_young/partek_myod_young_334_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_334_edgelist.csv,952,38891,80394.40962656021,2.044456958770752
../network_data/partek_myod_young/partek_myod_young_2430_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_2430_edgelist.csv,649,23746,41654.14659441407,0.9490540027618408
../network_data/partek_myod_young/partek_myod_young_239_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_239_edgelist.csv,917,35843,64049.978480336606,2.176568031311035
../network_data/partek_myod_young/partek_myod_young_4559_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_4559_edgelist.csv,558,11835,26337.886553949906,0.6903131008148193
../network_data/partek_myod_young/partek_myod_young_3302_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_3302_edgelist.csv,1795,117111,273267.29706662905,8.871945142745972
../network_data/partek_myod_young/partek_myod_young_4205_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_4205_edgelist.csv,967,44770,87033.68460785944,2.452517032623291
../network_data/partek_myod_young/partek_myod_young_4940_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_4940_edgelist.csv,1418,70028,148792.03904309677,4.660731792449951
../network_data/partek_myod_young/partek_myod_young_4144_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_4144_edgelist.csv,713,26709,45109.89725343435,1.186856985092163
../network_data/partek_myod_young/partek_myod_young_3022_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_3022_edgelist.csv,510,13897,25811.736807051562,0.5638201236724854
../network_data/partek_myod_young/partek_myod_young_2685_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_2685_edgelist.csv,1067,55281,107206.44594321503,2.5363872051239014
../network_data/partek_myod_young/partek_myod_young_2360_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_2360_edgelist.csv,249,2673,6177.643068127136,0.11667394638061523
../network_data/partek_myod_young/partek_myod_young_2875_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_2875_edgelist.csv,530,13499,24968.227166063833,0.6144471168518066
../network_data/partek_myod_young/partek_myod_young_120_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_120_edgelist.csv,1790,119176,271837.1210576767,9.267802953720093
../network_data/partek_myod_young/partek_myod_young_4504_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_4504_edgelist.csv,244,2758,5884.3292339059235,0.1674940586090088
../network_data/partek_myod_young/partek_myod_young_3157_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_3157_edgelist.csv,204,1992,4615.267202004837,0.0862588882446289
../network_data/partek_myod_young/partek_myod_young_1935_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_1935_edgelist.csv,539,15220,28874.395249487912,0.8239378929138184
../network_data/partek_myod_young/partek_myod_young_4541_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_4541_edgelist.csv,1172,59371,114068.97319621943,3.0968799591064453
../network_data/partek_myod_young/partek_myod_young_481_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_481_edgelist.csv,679,23891,44929.553613746735,1.2498619556427002
../network_data/partek_myod_young/partek_myod_young_1281_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_1281_edgelist.csv,1218,54206,118145.68223263585,3.667926788330078
../network_data/partek_myod_young/partek_myod_young_1640_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_1640_edgelist.csv,189,1830,4132.815033885989,0.07720303535461426
../network_data/partek_myod_young/partek_myod_young_2214_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_2214_edgelist.csv,1826,121088,283844.17661089567,8.981275081634521
../network_data/partek_myod_young/partek_myod_young_2083_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_2083_edgelist.csv,2387,166420,423100.8863474848,14.669970989227295
../network_data/partek_myod_young/partek_myod_young_1844_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_1844_edgelist.csv,242,2616,5588.934294023328,0.11876606941223145
../network_data/partek_myod_young/partek_myod_young_3840_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_3840_edgelist.csv,1668,82502,187382.83530614548,6.656543016433716
../network_data/partek_myod_young/partek_myod_young_4857_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_4857_edgelist.csv,1634,94976,204284.224822139,6.454155921936035
../network_data/partek_myod_young/partek_myod_young_2517_nodelist.csv,../network_data/partek_myod_young/partek_myod_young_2517_edgelist.csv,260,2826,6421.462839115009,0.1294400691986084
