nodelist,edgelist,num_nodes,num_edges,giulia_spatial_entropy,runtime
../network_data/partek_myod_postnatal/partek_myod_postnatal_2964_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_2964_edgelist.csv,1400,81330,145518.0136722068,3.8875200748443604
../network_data/partek_myod_postnatal/partek_myod_postnatal_3926_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3926_edgelist.csv,538,20406,35276.43268509125,0.4990229606628418
../network_data/partek_myod_postnatal/partek_myod_postnatal_3712_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3712_edgelist.csv,4783,715215,1796249.4716427776,52.43163585662842
../network_data/partek_myod_postnatal/partek_myod_postnatal_1262_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_1262_edgelist.csv,988,47667,85661.97305019098,1.964057207107544
../network_data/partek_myod_postnatal/partek_myod_postnatal_5079_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_5079_edgelist.csv,2430,207906,452425.461477774,11.797418117523193
../network_data/partek_myod_postnatal/partek_myod_postnatal_5744_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_5744_edgelist.csv,2801,254246,562101.6278152602,16.897944927215576
../network_data/partek_myod_postnatal/partek_myod_postnatal_4229_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_4229_edgelist.csv,3029,313390,679413.7648282492,20.519164085388184
../network_data/partek_myod_postnatal/partek_myod_postnatal_3655_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3655_edgelist.csv,776,24492,50703.594885446124,1.2787890434265137
../network_data/partek_myod_postnatal/partek_myod_postnatal_3556_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3556_edgelist.csv,754,25813,53521.93124034989,1.129422903060913
../network_data/partek_myod_postnatal/partek_myod_postnatal_3554_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3554_edgelist.csv,4464,548230,1347635.1412068827,46.97450590133667
../network_data/partek_myod_postnatal/partek_myod_postnatal_1771_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_1771_edgelist.csv,3437,380394,858612.7242774836,25.55794405937195
../network_data/partek_myod_postnatal/partek_myod_postnatal_6649_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_6649_edgelist.csv,2060,175503,378219.8139091892,9.09817910194397
../network_data/partek_myod_postnatal/partek_myod_postnatal_4701_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_4701_edgelist.csv,1069,52572,89865.97016099878,2.111172914505005
../network_data/partek_myod_postnatal/partek_myod_postnatal_695_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_695_edgelist.csv,5240,821481,2130316.050971538,79.25113701820374
../network_data/partek_myod_postnatal/partek_myod_postnatal_4902_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_4902_edgelist.csv,3338,388124,793025.4003653632,26.786224126815796
../network_data/partek_myod_postnatal/partek_myod_postnatal_542_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_542_edgelist.csv,3214,344683,805747.2383455223,22.075684070587158
../network_data/partek_myod_postnatal/partek_myod_postnatal_2407_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_2407_edgelist.csv,2052,160496,304606.22300800437,8.089318990707397
../network_data/partek_myod_postnatal/partek_myod_postnatal_4986_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_4986_edgelist.csv,4014,587736,1364097.2712042201,38.530280113220215
../network_data/partek_myod_postnatal/partek_myod_postnatal_933_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_933_edgelist.csv,585,16480,35745.02111934496,0.6224260330200195
../network_data/partek_myod_postnatal/partek_myod_postnatal_4861_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_4861_edgelist.csv,2253,174555,367679.9246212668,10.956771850585938
../network_data/partek_myod_postnatal/partek_myod_postnatal_935_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_935_edgelist.csv,1563,105892,196977.27456505081,5.41252589225769
../network_data/partek_myod_postnatal/partek_myod_postnatal_7194_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_7194_edgelist.csv,2033,157091,337538.70972228155,8.436493158340454
../network_data/partek_myod_postnatal/partek_myod_postnatal_5380_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_5380_edgelist.csv,76,516,871.6218034129128,0.018912076950073242
../network_data/partek_myod_postnatal/partek_myod_postnatal_3764_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3764_edgelist.csv,2074,154117,333084.56367235497,7.909226894378662
../network_data/partek_myod_postnatal/partek_myod_postnatal_675_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_675_edgelist.csv,2691,253582,557721.7349884092,13.945680856704712
../network_data/partek_myod_postnatal/partek_myod_postnatal_4882_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_4882_edgelist.csv,3020,334445,725477.8835202096,18.35310983657837
../network_data/partek_myod_postnatal/partek_myod_postnatal_6150_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_6150_edgelist.csv,472,10131,19224.801190254184,0.3582749366760254
../network_data/partek_myod_postnatal/partek_myod_postnatal_3875_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3875_edgelist.csv,5643,832239,2190607.5345776067,72.10540509223938
../network_data/partek_myod_postnatal/partek_myod_postnatal_3242_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3242_edgelist.csv,1265,75633,122692.56367341497,3.1214470863342285
../network_data/partek_myod_postnatal/partek_myod_postnatal_1821_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_1821_edgelist.csv,1870,152585,300204.43135401997,7.4209840297698975
../network_data/partek_myod_postnatal/partek_myod_postnatal_3033_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3033_edgelist.csv,2282,208505,432894.97843025293,10.837297916412354
../network_data/partek_myod_postnatal/partek_myod_postnatal_4486_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_4486_edgelist.csv,2696,246688,520575.8380404703,15.334728002548218
../network_data/partek_myod_postnatal/partek_myod_postnatal_2391_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_2391_edgelist.csv,1965,144747,303304.9954861923,6.886293888092041
../network_data/partek_myod_postnatal/partek_myod_postnatal_1384_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_1384_edgelist.csv,4302,502442,1234131.373358899,38.83578896522522
../network_data/partek_myod_postnatal/partek_myod_postnatal_704_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_704_edgelist.csv,987,48473,88254.67217437345,1.7310049533843994
../network_data/partek_myod_postnatal/partek_myod_postnatal_1925_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_1925_edgelist.csv,1561,99220,194141.9479834336,4.598935127258301
../network_data/partek_myod_postnatal/partek_myod_postnatal_7130_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_7130_edgelist.csv,2304,213440,435949.0997855072,10.993705034255981
