subpopulation,cell_num,num_nodes,num_edges,giulia_spatial_entropy,runtime,nodelist,edgelist
FA1_ProliferatingMuSC_P-M+,2369,2725,341583,692810.0292765868,14.586886882781982,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2369_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2369_edgelist.csv
FA1_ProliferatingMuSC_P-M+,2436,1639,132615,221605.03177851977,5.0546979904174805,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2436_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2436_edgelist.csv
FA1_ProliferatingMuSC_P-M+,2719,3491,478563,960151.3613578168,22.428235054016113,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2719_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2719_edgelist.csv
FA1_ProliferatingMuSC_P-M+,2362,1303,86703,145075.60543027057,3.1522738933563232,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2362_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2362_edgelist.csv
FA1_ProliferatingMuSC_P-M+,690,3030,353510,750492.2860563942,18.09759283065796,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_690_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_690_edgelist.csv
FA1_ProliferatingMuSC_P-M+,4674,977,51351,91614.17125872578,1.9988069534301758,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_4674_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_4674_edgelist.csv
FA1_ProliferatingMuSC_P-M+,442,3756,450368,998778.0072953728,27.77850103378296,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_442_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_442_edgelist.csv
FA1_ProliferatingMuSC_P-M+,2868,520,17995,35780.34258572924,0.4619588851928711,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2868_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2868_edgelist.csv
FA1_ProliferatingMuSC_P-M+,2987,1243,62073,128978.06712959967,2.7077620029449463,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2987_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2987_edgelist.csv
FA1_ProliferatingMuSC_P-M+,1631,1122,73668,134628.87237979381,2.291016101837158,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_1631_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_1631_edgelist.csv
FA1_ProliferatingMuSC_P-M+,3944,3885,571046,1294393.552841371,35.51303291320801,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_3944_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_3944_edgelist.csv
FA1_ProliferatingMuSC_P-M+,2919,1515,114265,191359.24465351398,4.241955995559692,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2919_nodelist.csv,../network_data/subpopulations_in_progress/FA1_ProliferatingMuSC_P-M+/FA1_ProliferatingMuSC_P-M+_2919_edgelist.csv
