subpopulation,cell_num,num_nodes,num_edges,giulia_spatial_entropy,runtime,nodelist,edgelist
FA1_TNMD_Fibroblasts,1145,3096,355774,769732.17429665,20.40931010246277,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1145_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1145_edgelist.csv
FA1_TNMD_Fibroblasts,4581,3386,392107,858113.2087680182,22.81612992286682,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4581_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4581_edgelist.csv
FA1_TNMD_Fibroblasts,79,3417,369848,795237.0690317379,29.256398916244507,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_79_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_79_edgelist.csv
FA1_TNMD_Fibroblasts,1701,3149,380011,830047.4892212981,19.55333685874939,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1701_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1701_edgelist.csv
FA1_TNMD_Fibroblasts,4903,632,18635,37800.59976981919,0.6513679027557373,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4903_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4903_edgelist.csv
FA1_TNMD_Fibroblasts,3924,2645,253712,524068.1535192344,13.035423994064331,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3924_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3924_edgelist.csv
FA1_TNMD_Fibroblasts,4905,3756,461821,1036483.3490576929,33.91706299781799,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4905_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4905_edgelist.csv
FA1_TNMD_Fibroblasts,431,2197,199947,378540.8225056916,13.278909921646118,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_431_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_431_edgelist.csv
FA1_TNMD_Fibroblasts,152,2161,182945,360534.59970597713,12.002172946929932,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_152_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_152_edgelist.csv
FA1_TNMD_Fibroblasts,495,2130,197482,382566.6476967916,9.453529119491577,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_495_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_495_edgelist.csv
FA1_TNMD_Fibroblasts,1251,2450,207550,436506.4659705356,11.573477029800415,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1251_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1251_edgelist.csv
FA1_TNMD_Fibroblasts,2923,2854,299946,645057.5099401275,15.959175109863281,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2923_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2923_edgelist.csv
FA1_TNMD_Fibroblasts,716,3545,454861,996275.4605120164,23.668472051620483,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_716_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_716_edgelist.csv
FA1_TNMD_Fibroblasts,244,4063,541296,1266887.3367781301,35.078959941864014,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_244_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_244_edgelist.csv
FA1_TNMD_Fibroblasts,4391,2393,228269,434472.919815429,11.797515869140625,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4391_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4391_edgelist.csv
FA1_TNMD_Fibroblasts,1863,2026,148177,297570.2288029762,7.8915228843688965,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1863_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1863_edgelist.csv
FA1_TNMD_Fibroblasts,1861,3215,383963,824016.2775308867,21.299803972244263,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1861_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1861_edgelist.csv
FA1_TNMD_Fibroblasts,792,1931,141566,259766.9507854842,7.107832193374634,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_792_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_792_edgelist.csv
FA1_TNMD_Fibroblasts,854,1538,105909,215471.25157076746,4.419403076171875,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_854_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_854_edgelist.csv
FA1_TNMD_Fibroblasts,1378,3374,401458,872502.5109678637,23.440489053726196,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1378_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1378_edgelist.csv
FA1_TNMD_Fibroblasts,2199,1594,90386,197410.44084131354,4.582395076751709,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2199_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2199_edgelist.csv
FA1_TNMD_Fibroblasts,2090,2813,314658,651637.5424126269,17.10134720802307,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2090_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2090_edgelist.csv
FA1_TNMD_Fibroblasts,4547,1593,104185,207070.7383256106,4.371531963348389,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4547_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4547_edgelist.csv
FA1_TNMD_Fibroblasts,1733,2355,197253,392177.3456393805,11.1943678855896,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1733_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1733_edgelist.csv
FA1_TNMD_Fibroblasts,927,2395,204496,401591.7442061082,11.666939973831177,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_927_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_927_edgelist.csv
FA1_TNMD_Fibroblasts,1748,2371,202684,410116.3964087818,10.462764978408813,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1748_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1748_edgelist.csv
FA1_TNMD_Fibroblasts,3524,3573,435717,1003819.7062756465,26.38659691810608,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3524_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3524_edgelist.csv
FA1_TNMD_Fibroblasts,3882,1245,76142,121922.17300286847,3.0465731620788574,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3882_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3882_edgelist.csv
FA1_TNMD_Fibroblasts,1239,4050,566047,1345637.1712615222,39.662428855895996,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1239_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1239_edgelist.csv
FA1_TNMD_Fibroblasts,3886,2242,189014,375057.14406746515,10.4356849193573,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3886_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3886_edgelist.csv
FA1_TNMD_Fibroblasts,4919,2632,274962,579578.1177639284,13.492533922195435,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4919_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4919_edgelist.csv
FA1_TNMD_Fibroblasts,1622,1910,168185,342638.16620618006,7.193465948104858,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1622_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1622_edgelist.csv
FA1_TNMD_Fibroblasts,375,4079,552763,1273861.2943613376,35.436866998672485,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_375_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_375_edgelist.csv
FA1_TNMD_Fibroblasts,172,2337,200236,409463.77254941745,10.020379066467285,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_172_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_172_edgelist.csv
FA1_TNMD_Fibroblasts,3233,2999,314778,659790.1653567121,17.668205976486206,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3233_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3233_edgelist.csv
FA1_TNMD_Fibroblasts,844,4265,600036,1451702.6000388777,42.98302888870239,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_844_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_844_edgelist.csv
FA1_TNMD_Fibroblasts,3031,1554,107605,196364.80128079985,4.491565942764282,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3031_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3031_edgelist.csv
FA1_TNMD_Fibroblasts,1016,1978,154920,304193.4255885465,7.519623041152954,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1016_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1016_edgelist.csv
FA1_TNMD_Fibroblasts,1809,2876,300641,620450.1840953744,17.443298816680908,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1809_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1809_edgelist.csv
FA1_TNMD_Fibroblasts,1728,4558,636355,1574181.5093415757,45.269258975982666,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1728_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1728_edgelist.csv
FA1_TNMD_Fibroblasts,1285,3584,462400,1064950.7862124688,26.81982684135437,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1285_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1285_edgelist.csv
FA1_TNMD_Fibroblasts,1801,2781,284455,584277.2490239912,15.011359930038452,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1801_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1801_edgelist.csv
FA1_TNMD_Fibroblasts,4739,1990,169336,316784.3233924328,7.332780838012695,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4739_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4739_edgelist.csv
FA1_TNMD_Fibroblasts,2387,2323,205325,400415.95996389765,11.070403814315796,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2387_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2387_edgelist.csv
FA1_TNMD_Fibroblasts,1430,2272,207909,415154.01595035027,9.688752889633179,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1430_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1430_edgelist.csv
FA1_TNMD_Fibroblasts,3720,2087,199358,375709.8504489158,8.219811916351318,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3720_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_3720_edgelist.csv
FA1_TNMD_Fibroblasts,4333,1727,126252,248419.14854880574,5.621941089630127,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4333_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4333_edgelist.csv
FA1_TNMD_Fibroblasts,1888,1459,102474,167730.58211546333,4.001542091369629,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1888_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_1888_edgelist.csv
FA1_TNMD_Fibroblasts,2532,2267,203092,396967.2317812225,10.152624130249023,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2532_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2532_edgelist.csv
FA1_TNMD_Fibroblasts,4411,3380,409598,901127.231800217,25.87902593612671,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4411_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_4411_edgelist.csv
FA1_TNMD_Fibroblasts,2433,767,27341,54117.69966391369,1.003661870956421,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2433_nodelist.csv,../network_data/subpopulations_in_progress/FA1_TNMD_Fibroblasts/FA1_TNMD_Fibroblasts_2433_edgelist.csv
