subpopulation,cell_num,num_nodes,num_edges,giulia_spatial_entropy,runtime,nodelist,edgelist
FA2_PECAM1_Endothelial,3976,2421,248548,484972.6917334227,11.946600914001465,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3976_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3976_edgelist.csv
FA2_PECAM1_Endothelial,1399,1565,91318,170699.145616285,4.7478978633880615,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1399_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1399_edgelist.csv
FA2_PECAM1_Endothelial,3181,5505,896222,2285303.9966590437,64.2906539440155,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3181_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3181_edgelist.csv
FA2_PECAM1_Endothelial,4168,462,9252,18482.81118446545,0.3553299903869629,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_4168_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_4168_edgelist.csv
FA2_PECAM1_Endothelial,3102,849,33039,63361.98709528599,1.2036712169647217,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3102_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3102_edgelist.csv
FA2_PECAM1_Endothelial,2206,2014,172016,357913.9478953143,7.817780017852783,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_2206_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_2206_edgelist.csv
FA2_PECAM1_Endothelial,2055,5621,907641,2402595.1515542516,75.4720618724823,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_2055_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_2055_edgelist.csv
FA2_PECAM1_Endothelial,4465,2011,156810,345530.0473850163,7.961216926574707,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_4465_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_4465_edgelist.csv
FA2_PECAM1_Endothelial,4464,768,24482,49253.4819151529,0.9542920589447021,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_4464_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_4464_edgelist.csv
FA2_PECAM1_Endothelial,1887,2637,226474,467125.17278842354,14.746787071228027,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1887_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1887_edgelist.csv
FA2_PECAM1_Endothelial,3070,1659,121653,212661.55383087508,5.661772012710571,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3070_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3070_edgelist.csv
FA2_PECAM1_Endothelial,288,1317,75425,140645.13751113717,3.029447078704834,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_288_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_288_edgelist.csv
FA2_PECAM1_Endothelial,446,4503,585285,1403509.057459966,45.27721095085144,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_446_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_446_edgelist.csv
FA2_PECAM1_Endothelial,200,2042,166022,327400.6107426607,7.699090003967285,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_200_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_200_edgelist.csv
FA2_PECAM1_Endothelial,1311,921,33975,63311.51769244187,1.4981629848480225,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1311_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1311_edgelist.csv
FA2_PECAM1_Endothelial,2107,2065,179864,323272.8509994155,9.44605016708374,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_2107_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_2107_edgelist.csv
FA2_PECAM1_Endothelial,2351,2069,181681,343152.0873114821,8.854928016662598,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_2351_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_2351_edgelist.csv
FA2_PECAM1_Endothelial,1248,824,33816,69905.18698969264,1.312713861465454,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1248_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1248_edgelist.csv
FA2_PECAM1_Endothelial,2022,918,36841,74248.41402033191,1.4847431182861328,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_2022_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_2022_edgelist.csv
FA2_PECAM1_Endothelial,3194,1965,147769,275672.56563243136,7.693445920944214,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3194_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3194_edgelist.csv
FA2_PECAM1_Endothelial,3685,731,22121,50099.061701919796,0.9180290699005127,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3685_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3685_edgelist.csv
FA2_PECAM1_Endothelial,1648,1583,112624,195470.46257605538,4.842072010040283,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1648_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1648_edgelist.csv
FA2_PECAM1_Endothelial,3650,2838,304750,649368.1510752717,16.594293117523193,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3650_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3650_edgelist.csv
FA2_PECAM1_Endothelial,3515,6048,1002932,2719192.869316114,86.41664600372314,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3515_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3515_edgelist.csv
FA2_PECAM1_Endothelial,3066,1489,91301,161981.394916708,4.437080144882202,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3066_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3066_edgelist.csv
FA2_PECAM1_Endothelial,3067,5301,826211,2151058.112586522,62.96688103675842,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3067_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3067_edgelist.csv
FA2_PECAM1_Endothelial,1176,2751,291831,606012.7449487087,14.938267946243286,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1176_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1176_edgelist.csv
FA2_PECAM1_Endothelial,457,1925,139981,284941.12798380887,6.621790170669556,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_457_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_457_edgelist.csv
FA2_PECAM1_Endothelial,884,1342,74662,138548.65072052905,3.507974863052368,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_884_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_884_edgelist.csv
FA2_PECAM1_Endothelial,1128,5649,899902,2341667.956866438,73.4716808795929,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1128_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_1128_edgelist.csv
FA2_PECAM1_Endothelial,3435,706,21202,44688.13114645407,0.8489859104156494,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3435_nodelist.csv,../network_data/subpopulations_in_progress/FA2_PECAM1_Endothelial/FA2_PECAM1_Endothelial_3435_edgelist.csv
