"gene_symbol","ensembl_id","gene_id"
"0610009B22Rik","ENSMUSP00000007921","ENSMUSG00000007777"
"0610009B22Rik","ENSMUSP00000104726","ENSMUSG00000007777"
"0610010F05Rik","ENSMUSP00000137799","ENSMUSG00000042208"
"0610010F05Rik","ENSMUSP00000044265","ENSMUSG00000042208"
"0610010F05Rik","ENSMUSP00000090955","ENSMUSG00000042208"
"0610010F05Rik","ENSMUSP00000117103","ENSMUSG00000042208"
"0610010F05Rik","ENSMUSP00000121553","ENSMUSG00000042208"
"0610010F05Rik","ENSMUSP00000123000","ENSMUSG00000042208"
"0610010F05Rik","ENSMUSP00000136118","ENSMUSG00000042208"
"0610010F05Rik","ENSMUSP00000105158","ENSMUSG00000042208"
"0610010K14Rik","ENSMUSP00000134994","ENSMUSG00000020831"
"0610010K14Rik","ENSMUSP00000119483","ENSMUSG00000020831"
"0610010K14Rik","ENSMUSP00000104215","ENSMUSG00000020831"
"0610010K14Rik","ENSMUSP00000104220","ENSMUSG00000020831"
"0610010K14Rik","ENSMUSP00000021181","ENSMUSG00000020831"
"0610010K14Rik","ENSMUSP00000104219","ENSMUSG00000020831"
"0610010K14Rik","ENSMUSP00000099629","ENSMUSG00000020831"
"0610010K14Rik","ENSMUSP00000104218","ENSMUSG00000020831"
"0610010K14Rik","ENSMUSP00000098510","ENSMUSG00000020831"
"0610010K14Rik","ENSMUSP00000104216","ENSMUSG00000020831"
"0610010K14Rik","ENSMUSP00000021180","ENSMUSG00000020831"
"0610012G03Rik","ENSMUSP00000143811","ENSMUSG00000107002"
"0610030E20Rik","ENSMUSP00000076957","ENSMUSG00000058706"
"0610030E20Rik","ENSMUSP00000141754","ENSMUSG00000108680"
"0610040J01Rik","ENSMUSP00000080443","ENSMUSG00000060512"
"0610040J01Rik","ENSMUSP00000142473","ENSMUSG00000060512"
"0610040J01Rik","ENSMUSP00000142658","ENSMUSG00000060512"
"0610040J01Rik","ENSMUSP00000142539","ENSMUSG00000060512"
"1110002E22Rik","ENSMUSP00000123851","ENSMUSG00000090066"
"1110004F10Rik","ENSMUSP00000145989","ENSMUSG00000030663"
"1110004F10Rik","ENSMUSP00000146007","ENSMUSG00000030663"
"1110004F10Rik","ENSMUSP00000032899","ENSMUSG00000030663"
"1110004F10Rik","ENSMUSP00000102219","ENSMUSG00000030663"
"1110004F10Rik","ENSMUSP00000102218","ENSMUSG00000030663"
"1110004F10Rik","ENSMUSP00000116035","ENSMUSG00000030663"
"1110008L16Rik","ENSMUSP00000139123","ENSMUSG00000021023"
"1110008L16Rik","ENSMUSP00000021411","ENSMUSG00000021023"
"1110008L16Rik","ENSMUSP00000139204","ENSMUSG00000021023"
"1110008L16Rik","ENSMUSP00000139252","ENSMUSG00000021023"
"1110008L16Rik","ENSMUSP00000138821","ENSMUSG00000021023"
"1110008P14Rik","ENSMUSP00000142021","ENSMUSG00000039195"
"1110008P14Rik","ENSMUSP00000038970","ENSMUSG00000039195"
"1110012L19Rik","ENSMUSP00000052765","ENSMUSG00000045237"
"1110017D15Rik","ENSMUSP00000122537","ENSMUSG00000028441"
"1110017D15Rik","ENSMUSP00000030152","ENSMUSG00000028441"
"1110017D15Rik","ENSMUSP00000092744","ENSMUSG00000028441"
"1110025L11Rik","ENSMUSP00000086505","ENSMUSG00000068073"
"1110032A03Rik","ENSMUSP00000041803","ENSMUSG00000037971"
