gene_symbol,ensembl_id
0610005C13Rik,
0610009B22Rik,ENSMUSP00000104726
0610009O20Rik,-
0610010F05Rik,ENSMUSP00000044265
0610010K14Rik,ENSMUSP00000119483
0610012D04Rik,-
0610012G03Rik,ENSMUSP00000143811
0610030E20Rik,ENSMUSP00000076957
0610031O16Rik,
0610033M10Rik,-
0610037L13Rik,ENSMUSP00000113866
0610038B21Rik,
0610039K10Rik,
0610040B10Rik,
0610040F04Rik,
0610040J01Rik,ENSMUSP00000142539
0610043K17Rik,
1010001B22Rik,-
1010001N08Rik,
1100001I12Rik,-
1110002E22Rik,ENSMUSP00000123851
1110002J07Rik,-
1110002L01Rik,
1110004E09Rik,-
1110004F10Rik,ENSMUSP00000145989
1110006O24Rik,
1110008F13Rik,-
1110008L16Rik,ENSMUSP00000139204
1110008P14Rik,ENSMUSP00000142021
1110012L19Rik,ENSMUSP00000052765
1110017D15Rik,ENSMUSP00000122537
1110019D14Rik,
1110020A21Rik,
1110032A03Rik,ENSMUSP00000135679
1110032F04Rik,ENSMUSP00000056782
1110034G24Rik,-
1110035H17Rik,-
1110038F14Rik,ENSMUSP00000071698
1110046J04Rik,
1110051M20Rik,ENSMUSP00000067770
1110059E24Rik,ENSMUSP00000136688
1110059G10Rik,ENSMUSP00000112461
1110065P20Rik,ENSMUSP00000130892
1190001M18Rik,-
1190002N15Rik,ENSMUSP00000108651
1190005I06Rik,ENSMUSP00000121882
1190007I07Rik,ENSMUSP00000134868
1200007C13Rik,-
1300002E11Rik,
1300014J16Rik,-
1300017J02Rik,ENSMUSP00000115867
1500002C15Rik,-
1500009C09Rik,ENSMUSP00000120070
1500009L16Rik,ENSMUSP00000129542
1500011B03Rik,ENSMUSP00000116625
1500011K16Rik,-
1500015A07Rik,
1500015O10Rik,-
1500035N22Rik,-
1520401A03Rik,ENSMUSP00000144253
1600002K03Rik,ENSMUSP00000037758
1600010M07Rik,
1600012H06Rik,ENSMUSP00000093344
1600014C10Rik,ENSMUSP00000146124
1600014C23Rik,ENSMUSP00000136788
1600020E01Rik,
1700001C19Rik,ENSMUSP00000155338
1700001J03Rik,ENSMUSP00000073399
1700001K19Rik,ENSMUSP00000152785
1700001L05Rik,-
1700001L19Rik,ENSMUSP00000152877
1700001P01Rik,ENSMUSP00000103202
1700003E16Rik,ENSMUSP00000032106
1700003F12Rik,ENSMUSP00000105331
1700003G13Rik,-
1700003I16Rik,-
1700006J14Rik,-
1700007G11Rik,-
1700007K13Rik,ENSMUSP00000083557
1700008B11Rik,-
1700008J07Rik,
1700008O03Rik,ENSMUSP00000123280
1700010B08Rik,ENSMUSP00000072830
1700010I14Rik,ENSMUSP00000024650
1700010K24Rik,-
1700011C11Rik,
1700011D18Rik,-
1700011L22Rik,ENSMUSP00000034109
1700012B07Rik,ENSMUSP00000102285
1700012B09Rik,ENSMUSP00000140756
1700013F07Rik,ENSMUSP00000029485
1700014D04Rik,ENSMUSP00000052403
1700015F17Rik,ENSMUSP00000111107
1700016D06Rik,ENSMUSP00000140232
1700016F12Rik,-
1700016G14Rik,-
1700016G22Rik,
1700016H13Rik,ENSMUSP00000113969
1700016K19Rik,ENSMUSP00000063358
1700017B05Rik,ENSMUSP00000034846
1700017D01Rik,ENSMUSP00000025635
1700017M07Rik,
1700018A04Rik,
1700018B08Rik,ENSMUSP00000138269
1700018L02Rik,-
1700019A02Rik,ENSMUSP00000072089
1700019D03Rik,ENSMUSP00000055413
1700019L13Rik,-
1700020A23Rik,ENSMUSP00000105910
1700020D05Rik,ENSMUSP00000140922
1700020I14Rik,-
1700020L24Rik,ENSMUSP00000042098
1700020N01Rik,ENSMUSP00000054237
1700021A07Rik,-
1700021F05Rik,ENSMUSP00000119053
1700021F13Rik,-
1700022I11Rik,ENSMUSP00000140363
1700022N22Rik,
1700023F06Rik,ENSMUSP00000139837
1700025G04Rik,ENSMUSP00000113971
1700025M24Rik,
1700025N21Rik,-
1700025N23Rik,
1700026D11Rik,
1700027A15Rik,
1700027F06Rik,-
1700027J07Rik,
1700028I16Rik,
1700028J19Rik,ENSMUSP00000145781
1700028K03Rik,ENSMUSP00000058373
1700029I15Rik,ENSMUSP00000140421
1700029J03Rik,
1700029J07Rik,ENSMUSP00000092961
1700030E10Rik,-
1700030J22Rik,ENSMUSP00000070601
1700030K09Rik,ENSMUSP00000113279
1700034H15Rik,
1700034I23Rik,ENSMUSP00000141045
1700034P13Rik,-
1700036A12Rik,-
1700037C18Rik,ENSMUSP00000111525
1700037H04Rik,ENSMUSP00000028800
1700039M15Rik,-
1700040F17Rik,-
1700041G16Rik,-
1700042O10Rik,
1700047G03Rik,
1700047I17Rik2,ENSMUSP00000137377
1700047M11Rik,
1700048O20Rik,
1700049J03Rik,-
1700052I22Rik,
1700052K11Rik,-
1700054M17Rik,
1700055D18Rik,-
1700056E22Rik,ENSMUSP00000055787
1700056N10Rik,-
1700057G04Rik,ENSMUSP00000096077
1700058P15Rik,-
1700061E18Rik,-
1700061G19Rik,ENSMUSP00000025048
1700061N14Rik,
1700063D05Rik,
1700063H04Rik,
1700064M15Rik,
1700065D16Rik,
1700066B17Rik,
1700066B19Rik,ENSMUSP00000095222
1700066M21Rik,ENSMUSP00000040240
1700067K01Rik,ENSMUSP00000134486
1700069B07Rik,-
1700069L16Rik,ENSMUSP00000047454
1700071M16Rik,
1700072B07Rik,
1700072G22Rik,-
1700084C06Rik,-
1700084E18Rik,-
1700086D15Rik,-
1700086O06Rik,
1700086P04Rik,
1700088E04Rik,ENSMUSP00000129244
1700092M07Rik,ENSMUSP00000130094
1700093K21Rik,ENSMUSP00000020527
1700095J03Rik,
1700096K18Rik,
1700097N02Rik,
1700099I09Rik,
1700102H20Rik,
1700102P08Rik,ENSMUSP00000141566
1700104B16Rik,-
1700105P06Rik,-
1700109H08Rik,ENSMUSP00000008451
1700109K24Rik,
1700110C19Rik,
1700110K17Rik,-
1700112D23Rik,-
1700112J16Rik,
1700113A16Rik,
1700120K04Rik,
1700123L14Rik,ENSMUSP00000087515
1700123O20Rik,ENSMUSP00000047702
1700124L16Rik,
1700125H20Rik,ENSMUSP00000018623
1810006J02Rik,
1810008I18Rik,-
1810009A15Rik,ENSMUSP00000093970
1810009J06Rik,ENSMUSP00000075935
1810010D01Rik,ENSMUSP00000149353
1810010H24Rik,ENSMUSP00000147434
1810011H11Rik,-
1810012K16Rik,
1810013L24Rik,ENSMUSP00000023150
1810019N24Rik,
1810020O05Rik,
1810021B22Rik,
1810022K09Rik,ENSMUSP00000139512
1810024B03Rik,ENSMUSP00000061355
1810030O07Rik,ENSMUSP00000059095
1810032O08Rik,
1810034E14Rik,
1810037I17Rik,ENSMUSP00000102037
1810041H14Rik,
1810041L15Rik,-
1810043G02Rik,ENSMUSP00000101036
1810044D09Rik,
1810049J17Rik,-
1810055G02Rik,ENSMUSP00000047063
1810058I24Rik,
1810062G17Rik,ENSMUSP00000029268
1810062O18Rik,
2010003K11Rik,ENSMUSP00000036729
2010005H15Rik,ENSMUSP00000140745
2010007H06Rik,-
2010013B24Rik,-
2010015M23Rik,-
2010107E04Rik,-
2010109A12Rik,ENSMUSP00000031330
2010109I03Rik,ENSMUSP00000076264
2010110E17Rik,-
2010110K18Rik,-
2010111I01Rik,ENSMUSP00000152100
2010300C02Rik,ENSMUSP00000125015
2010300F17Rik,-
2010308F09Rik,
2010309G21Rik,-
2010310C07Rik,
2010315B03Rik,ENSMUSP00000071269
2010320M18Rik,-
2200002D01Rik,ENSMUSP00000032808
2200002J24Rik,ENSMUSP00000013227
2210008F06Rik,-
2210011C24Rik,ENSMUSP00000140135
2210011K15Rik,-
2210016F16Rik,ENSMUSP00000022032
2210016L21Rik,ENSMUSP00000031538
2210039B01Rik,
2210406O10Rik,
2210407C18Rik,ENSMUSP00000039283
2210408I21Rik,ENSMUSP00000127449
2210414B05Rik,
2210417A02Rik,
2300009A05Rik,ENSMUSP00000127596
2310001H17Rik,
2310001K24Rik,
2310002D06Rik,
2310002L09Rik,ENSMUSP00000030101
2310009B15Rik,ENSMUSP00000141565
2310011J03Rik,ENSMUSP00000020341
2310015D24Rik,
2310022A10Rik,ENSMUSP00000066803
2310022B05Rik,ENSMUSP00000034464
2310026L22Rik,-
2310030G06Rik,ENSMUSP00000034564
2310031A07Rik,-
2310033P09Rik,ENSMUSP00000020719
2310034G01Rik,-
2310034O05Rik,
2310035C23Rik,-
2310039H08Rik,ENSMUSP00000071378
2310040G07Rik,-
2310040G24Rik,
2310043L19Rik,
2310043M15Rik,-
2310043O21Rik,
2310044K18Rik,-
2310047D07Rik,-
2310057M21Rik,ENSMUSP00000147242
2310061I04Rik,ENSMUSP00000115771
2310065F04Rik,
2310067P03Rik,-
2310068J16Rik,
2310069B03Rik,
2310074N15Rik,-
2310081O03Rik,-
2410002F23Rik,ENSMUSP00000117318
2410004B18Rik,ENSMUSP00000118224
2410004I01Rik,
2410004P03Rik,ENSMUSP00000093503
2410015M20Rik,ENSMUSP00000052908
2410018L13Rik,
2410080I02Rik,-
2410089E03Rik,-
2410131K14Rik,ENSMUSP00000043410
2510002D24Rik,ENSMUSP00000141071
2510009E07Rik,ENSMUSP00000062303
2510017J16Rik,-
2510039O18Rik,ENSMUSP00000099522
2510046G10Rik,-
2600006K01Rik,ENSMUSP00000119476
2610001J05Rik,ENSMUSP00000120110
2610002M06Rik,ENSMUSP00000113588
2610008E11Rik,ENSMUSP00000151709
2610016A17Rik,
2610020C07Rik,-
2610021A01Rik,ENSMUSP00000146223
2610035D17Rik,
2610037D02Rik,-
2610044O15Rik8,ENSMUSP00000140555
2610204G07Rik,-
2610206C17Rik,
2610301B20Rik,ENSMUSP00000079361
2610318N02Rik,ENSMUSP00000091026
2610507B11Rik,ENSMUSP00000010421
2610524H06Rik,ENSMUSP00000116625
2610528A11Rik,ENSMUSP00000136426
2700012I20Rik,
2700016F22Rik,-
2700033N17Rik,-
2700038G22Rik,
2700046A07Rik,
2700046G09Rik,
2700049A03Rik,ENSMUSP00000118956
2700062C07Rik,ENSMUSP00000095251
2700069I18Rik,-
2700081O15Rik,ENSMUSP00000123773
2700089I24Rik,
2700097O09Rik,ENSMUSP00000021406
2810001G20Rik,
2810004N23Rik,ENSMUSP00000034465
2810006K23Rik,ENSMUSP00000107102
2810021J22Rik,ENSMUSP00000073579
2810032G03Rik,
2810402E24Rik,-
2810403A07Rik,-
2810403G07Rik,-
2810404F17Rik,-
2810405F17Rik,-
2810407A14Rik,-
2810408A11Rik,ENSMUSP00000135926
2810414N06Rik,
2810425M01Rik,-
2810429I04Rik,
2810433D01Rik,-
2810442N19Rik,
2810454H06Rik,
2810455O05Rik,-
2810457G06Rik,-
2810459M11Rik,ENSMUSP00000131459
2810474O19Rik,-
2900009J06Rik,
2900026A02Rik,ENSMUSP00000058789
2900045O20Rik,-
2900055J20Rik,ENSMUSP00000158332
2900060B14Rik,
2900076A07Rik,
2900089D17Rik,-
2900093K20Rik,-
2900097C17Rik,
3010003L21Rik,
3100002H09Rik,-
3110001I22Rik,ENSMUSP00000041742
3110002H16Rik,-
3110006O06Rik,-
3110009E18Rik,ENSMUSP00000027637
3110021N24Rik,-
3110035E14Rik,-
3110040N11Rik,ENSMUSP00000026092
3110043O21Rik,-
3110045C21Rik,
3110062M04Rik,-
3110070M22Rik,ENSMUSP00000096752
3110079O15Rik,-
3110082I17Rik,ENSMUSP00000069230
