gene_symbol,ensembl_id,expr_val
1110038F14Rik,10090.ENSMUSP00000071698,1.0
1110038F14Rik,10090.ENSMUSP00000154907,1.0
1110038F14Rik,10090.ENSMUSP00000155387,1.0
1700012B09Rik,10090.ENSMUSP00000140756,2.0
1700012B09Rik,10090.ENSMUSP00000140386,2.0
1700012B09Rik,10090.ENSMUSP00000139796,2.0
1700012B09Rik,10090.ENSMUSP00000140908,2.0
1700012B09Rik,10090.ENSMUSP00000049826,2.0
1700037C18Rik,10090.ENSMUSP00000111525,1.0
1700037C18Rik,10090.ENSMUSP00000135766,1.0
1700037C18Rik,10090.ENSMUSP00000006139,1.0
1700037C18Rik,10090.ENSMUSP00000134800,1.0
1700037C18Rik,10090.ENSMUSP00000135233,1.0
1810013L24Rik,10090.ENSMUSP00000023150,1.0
1810013L24Rik,10090.ENSMUSP00000155131,1.0
1810037I17Rik,10090.ENSMUSP00000102037,3.0
2510039O18Rik,10090.ENSMUSP00000099522,1.0
4930523C07Rik,10090.ENSMUSP00000137410,1.0
4930523C07Rik,10090.ENSMUSP00000156718,1.0
5031439G07Rik,10090.ENSMUSP00000037011,1.0
5031439G07Rik,10090.ENSMUSP00000128699,1.0
6430531B16Rik,10090.ENSMUSP00000148257,1.0
6430531B16Rik,10090.ENSMUSP00000147330,1.0
6430531B16Rik,10090.ENSMUSP00000113338,1.0
6430531B16Rik,10090.ENSMUSP00000095584,1.0
9030025P20Rik,10090.ENSMUSP00000060857,1.0
A530064D06Rik,10090.ENSMUSP00000156579,3.0
A530064D06Rik,10090.ENSMUSP00000155086,3.0
A530064D06Rik,10090.ENSMUSP00000155597,3.0
A530064D06Rik,10090.ENSMUSP00000156788,3.0
A530064D06Rik,10090.ENSMUSP00000027764,3.0
A530064D06Rik,10090.ENSMUSP00000156488,3.0
A530064D06Rik,10090.ENSMUSP00000055935,3.0
AI467606,10090.ENSMUSP00000146315,1.0
AI467606,10090.ENSMUSP00000063016,1.0
AI837181,10090.ENSMUSP00000125651,2.0
AI837181,10090.ENSMUSP00000158508,2.0
Aar2,10090.ENSMUSP00000114728,1.0
Aar2,10090.ENSMUSP00000105198,1.0
Aar2,10090.ENSMUSP00000118090,1.0
Aar2,10090.ENSMUSP00000029158,1.0
Aars,10090.ENSMUSP00000122388,1.0
Aars,10090.ENSMUSP00000034441,1.0
Abhd17a,10090.ENSMUSP00000140424,1.0
Abhd17a,10090.ENSMUSP00000003436,1.0
Abhd17a,10090.ENSMUSP00000141177,1.0
Abhd17a,10090.ENSMUSP00000139766,1.0
Abi1,10090.ENSMUSP00000116093,1.0
Abi1,10090.ENSMUSP00000090860,1.0
Abi1,10090.ENSMUSP00000077997,1.0
Abi1,10090.ENSMUSP00000120462,1.0
Abi1,10090.ENSMUSP00000117335,1.0
Abi1,10090.ENSMUSP00000118491,1.0
Abi1,10090.ENSMUSP00000120621,1.0
Abi1,10090.ENSMUSP00000136846,1.0
Abi1,10090.ENSMUSP00000120769,1.0
Abi1,10090.ENSMUSP00000110191,1.0
Abi1,10090.ENSMUSP00000088957,1.0
Abracl,10090.ENSMUSP00000151461,2.0
Abracl,10090.ENSMUSP00000151841,2.0
Abracl,10090.ENSMUSP00000151794,2.0
Abracl,10090.ENSMUSP00000020002,2.0
Abtb2,10090.ENSMUSP00000075566,1.0
Acadvl,10090.ENSMUSP00000099634,1.0
Acadvl,10090.ENSMUSP00000018718,1.0
Acbd3,10090.ENSMUSP00000027780,2.0
Acbd5,10090.ENSMUSP00000110175,1.0
Acbd5,10090.ENSMUSP00000154023,1.0
Acbd5,10090.ENSMUSP00000154188,1.0
Acbd5,10090.ENSMUSP00000110169,1.0
Acbd5,10090.ENSMUSP00000154518,1.0
Acbd5,10090.ENSMUSP00000154043,1.0
Acbd5,10090.ENSMUSP00000110172,1.0
Acbd5,10090.ENSMUSP00000028121,1.0
Acbd5,10090.ENSMUSP00000117325,1.0
