gene_symbol,ensembl_id
0610005C13Rik,10090.
0610009B22Rik,10090.ENSMUSP00000104726
0610009B22Rik,10090.ENSMUSP00000007921
0610009O20Rik,10090.-
0610010F05Rik,10090.ENSMUSP00000044265
0610010F05Rik,10090.ENSMUSP00000137799
0610010F05Rik,10090.ENSMUSP00000090955
0610010F05Rik,10090.ENSMUSP00000117103
0610010F05Rik,10090.ENSMUSP00000121553
0610010F05Rik,10090.ENSMUSP00000123000
0610010F05Rik,10090.ENSMUSP00000136118
0610010F05Rik,10090.ENSMUSP00000105158
0610010K14Rik,10090.ENSMUSP00000099629
0610010K14Rik,10090.ENSMUSP00000104219
0610010K14Rik,10090.ENSMUSP00000104216
0610010K14Rik,10090.ENSMUSP00000021180
0610010K14Rik,10090.ENSMUSP00000098510
0610010K14Rik,10090.ENSMUSP00000104218
0610010K14Rik,10090.ENSMUSP00000104215
0610010K14Rik,10090.ENSMUSP00000104220
0610010K14Rik,10090.
0610010K14Rik,10090.ENSMUSP00000021181
0610010K14Rik,10090.ENSMUSP00000119483
0610010K14Rik,10090.ENSMUSP00000134994
0610012D04Rik,10090.-
0610012G03Rik,10090.ENSMUSP00000143811
0610030E20Rik,10090.ENSMUSP00000141754
0610030E20Rik,10090.ENSMUSP00000076957
0610030E20Rik,10090.
0610031O16Rik,10090.
0610033M10Rik,10090.-
0610037L13Rik,10090.ENSMUSP00000102337
0610037L13Rik,10090.ENSMUSP00000119309
0610037L13Rik,10090.ENSMUSP00000114234
0610037L13Rik,10090.ENSMUSP00000113866
0610037L13Rik,10090.ENSMUSP00000117717
0610037L13Rik,10090.
0610037L13Rik,10090.ENSMUSP00000115797
0610037L13Rik,10090.ENSMUSP00000102338
0610037L13Rik,10090.ENSMUSP00000119565
0610037L13Rik,10090.ENSMUSP00000113991
0610038B21Rik,10090.
0610039K10Rik,10090.
0610040B10Rik,10090.
0610040F04Rik,10090.
0610040J01Rik,10090.ENSMUSP00000142539
0610040J01Rik,10090.ENSMUSP00000142658
0610040J01Rik,10090.ENSMUSP00000142473
0610040J01Rik,10090.ENSMUSP00000080443
0610043K17Rik,10090.
1010001B22Rik,10090.-
1010001N08Rik,10090.
1100001I12Rik,10090.-
1110002E22Rik,10090.ENSMUSP00000123851
1110002E22Rik,10090.
1110002J07Rik,10090.-
1110002L01Rik,10090.
1110004E09Rik,10090.-
1110004F10Rik,10090.ENSMUSP00000102219
1110004F10Rik,10090.ENSMUSP00000032899
1110004F10Rik,10090.ENSMUSP00000145989
